Rgn,Country                     , Status   ,Latitude,  Longtiude,Elem1,Elem2,Elem3,Elem4,Elem5,Elem6,Elem7,Elem8, Filename 
1,Ghana                         ,WMO_Member,   9.450,  -0.017,PRCP,DP01,TMAX,    ,    ,    ,    ,    , Yendi_65420.csv                                                  
1,Guinea_Bissau                 ,WMO_Member,  12.167, -14.667,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , BAFATA_61781.csv                                                 
1,Guinea_Bissau                 ,WMO_Member,  11.883, -15.650,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , BISSAUAEROPORTO_61766.csv                                        
1,Guinea_Bissau                 ,WMO_Member,  11.583, -15.483,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , BOLAMA_61769.csv                                                 
1,Guinea                        ,WMO_Member,  10.933, -14.317,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , BOKE_61816.csv                                                   
1,Guinea                        ,WMO_Member,   9.567, -13.617,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , CONAKRY_61832.csv                                                
1,Guinea                        ,WMO_Member,  10.033, -10.500,PRCP,    ,TMAX,TMIN,    ,    ,    ,    , FARANAH_61833.csv                                                
1,Guinea                        ,WMO_Member,  10.383,  -9.300,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , KANKAN_61829.csv                                                 
1,Guinea                        ,WMO_Member,  10.050, -12.867,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , KINDIA_61818.csv                                                 
1,Guinea                        ,WMO_Member,  12.567, -13.517,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , KOUNDARA_61802.csv                                               
1,Guinea                        ,WMO_Member,  11.317, -12.300,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , LABE_61809.csv                                                   
1,Guinea                        ,WMO_Member,  10.367, -12.083,PRCP,    ,TMAX,TMIN,    ,    ,    ,    , MAMOU_61820.csv                                                  
1,Guinea                        ,WMO_Member,   7.750,  -8.783,PRCP,DP01,TMAX,TMIN,TAVG,    ,    ,    , NZEREKORE_61849.csv                                              
1,Libya                         ,WMO_Member,  32.083,  20.267,PRCP,DP01,TMAX,TMIN,TAVG,MSLP,MNVP,    , BENINA_62053.csv                                                 
