Elem,Rgn,Country                     , Status   ,Latitude,  Longtiude, Filename 
MNVP,2,China                         ,WMO_Member,  31.730,   98.570,  DEGE_56144.csv                                                   
MNVP,2,China                         ,WMO_Member,  37.370,   97.370,  DELINGHA_52737.csv                                               
MNVP,2,China                         ,WMO_Member,  31.420,   95.600,  DENGQEN_56116.csv                                                
MNVP,2,China                         ,WMO_Member,  28.450,   98.880,  DEQEN_56444.csv                                                  
MNVP,2,China                         ,WMO_Member,  30.030,  122.120,  DINGHAI_58477.csv                                                
MNVP,2,China                         ,WMO_Member,  35.080,  115.520,  DINGTAO_54909.csv                                                
MNVP,2,China                         ,WMO_Member,  19.100,  108.620,  DONGFANG_59838.csv                                               
MNVP,2,China                         ,WMO_Member,  39.830,  109.980,  DONGSHENG_53543.csv                                              
MNVP,2,China                         ,WMO_Member,  32.850,  120.280,  DONGTAI_58251.csv                                                
MNVP,2,China                         ,WMO_Member,  36.300,   98.100,  DOULAN_52836.csv                                                 
MNVP,2,China                         ,WMO_Member,  42.180,  116.470,  DUOLUN_54208.csv                                                 
MNVP,2,China                         ,WMO_Member,  30.280,  109.470,  ENSHI_57447.csv                                                  
MNVP,2,China                         ,WMO_Member,  43.650,  112.000,  ERENHOT_53068.csv                                                
MNVP,2,China                         ,WMO_Member,  47.230,  131.980,  FUJIN_50788.csv                                                  
MNVP,2,China                         ,WMO_Member,  32.870,  115.730,  FUYANG_58203.csv                                                 
MNVP,2,China                         ,WMO_Member,  47.020,   89.500,  FUYUN_51087.csv                                                  
MNVP,2,China                         ,WMO_Member,  26.080,  119.280,  FUZHOU_58847.csv                                                 
MNVP,2,China                         ,WMO_Member,  37.330,  100.130,  GANGCA_52754.csv                                                 
MNVP,2,China                         ,WMO_Member,  34.850,  119.130,  GANYU_58040.csv                                                  
MNVP,2,China                         ,WMO_Member,  25.870,  115.000,  GANZHOU_57993.csv                                                
MNVP,2,China                         ,WMO_Member,  30.750,  106.130,  GAOPING_57411.csv                                                
MNVP,2,China                         ,WMO_Member,  36.420,   94.900,  GOLMUD_52818.csv                                                 
MNVP,2,China                         ,WMO_Member,  41.370,  102.370,  GUAIZIHU_52378.csv                                               
MNVP,2,China                         ,WMO_Member,  24.070,  105.070,  GUANGNAN_59007.csv                                               
MNVP,2,China                         ,WMO_Member,  23.220,  113.480,  GUANGZHOU_59287.csv                                              
MNVP,2,China                         ,WMO_Member,  25.330,  110.300,  GUILIN_57957.csv                                                 
MNVP,2,China                         ,WMO_Member,  26.580,  106.730,  GUIYANG_57816.csv                                                
MNVP,2,China                         ,WMO_Member,  20.000,  110.250,  HAIKOU_59758.csv                                                 
MNVP,2,China                         ,WMO_Member,  41.450,  106.380,  HAILS_53231.csv                                                  
MNVP,2,China                         ,WMO_Member,  47.450,  126.870,  HAILUN_50756.csv                                                 
MNVP,2,China                         ,WMO_Member,  41.570,  108.520,  HALIUT_53336.csv                                                 
